time_ms,v,w,left_wheel,right_wheel
11921,0.8,-0.0561011,0.856101,0.743899
11971,0.8,-0.0561437,0.856144,0.743856
12021,0.8,-0.0561785,0.856178,0.743822
12072,0.8,-0.0562054,0.856205,0.743795
12122,0.8,-0.0562248,0.856225,0.743775
12171,0.8,-0.0562366,0.856237,0.743763
12221,0.8,-0.056241,0.856241,0.743759
12271,0.8,-0.0562381,0.856238,0.743762
12321,0.8,-0.0562281,0.856228,0.743772
12372,0.8,-0.0566831,0.856683,0.743317
12421,0.8,-0.0566482,0.856648,0.743352
12471,0.8,-0.0566066,0.856607,0.743393
12521,0.8,-0.0565585,0.856558,0.743442
12571,0.8,-0.0565039,0.856504,0.743496
12621,0.8,-0.0564431,0.856443,0.743557
12671,0.8,-0.0563761,0.856376,0.743624
12722,0.8,-0.056303,0.856303,0.743697
12771,0.8,-0.056224,0.856224,0.743776
12821,0.8,-0.0561391,0.856139,0.743861
12871,0.8,-0.0560484,0.856048,0.743952
12922,0.8,-0.0559521,0.855952,0.744048
12971,0.8,-0.0558503,0.85585,0.74415
13021,0.8,-0.055743,0.855743,0.744257
13071,0.8,-0.0556304,0.85563,0.74437
13121,0.8,-0.0555126,0.855513,0.744487
13171,0.8,-0.0553896,0.85539,0.74461
13221,0.8,-0.0552616,0.855262,0.744738
13271,0.8,-0.0551287,0.855129,0.744871
13321,0.8,-0.054991,0.854991,0.745009
13371,0.8,-0.0548484,0.854848,0.745152
13421,0.8,-0.0580038,0.858004,0.741996
13471,0.8,-0.0577721,0.857772,0.742228
13521,0.8,-0.0575368,0.857537,0.742463
13571,0.8,-0.057298,0.857298,0.742702
13621,0.8,-0.0570559,0.857056,0.742944
13671,0.8,-0.0568104,0.85681,0.74319
13721,0.8,-0.0565617,0.856562,0.743438
13771,0.8,-0.0563098,0.85631,0.74369
13821,0.8,-0.0560548,0.856055,0.743945
13871,0.8,-0.0557968,0.855797,0.744203
13921,0.8,-0.0555359,0.855536,0.744464
13971,0.8,-0.0552721,0.855272,0.744728
14021,0.8,-0.0550055,0.855006,0.744994
14071,0.8,-0.0547363,0.854736,0.745264
14121,0.8,-0.0544644,0.854464,0.745536
14171,0.8,-0.05419,0.85419,0.74581
14221,0.8,-0.0539131,0.853913,0.746087
14271,0.8,-0.0536338,0.853634,0.746366
14321,0.8,-0.0533619,0.853362,0.746638
14371,0.8,-0.0530956,0.853096,0.746904
14421,0.8,-0.0528532,0.852853,0.747147
14471,0.8,-0.0585682,0.858568,0.741432
14521,0.8,-0.0581225,0.858122,0.741878
14571,0.8,-0.0576764,0.857676,0.742324
14621,0.8,-0.0572301,0.85723,0.74277
14671,0.8,-0.0567835,0.856784,0.743216
14721,0.8,-0.0563367,0.856337,0.743663
14771,0.8,-0.0558898,0.85589,0.74411
14821,0.8,-0.0554429,0.855443,0.744557
14871,0.8,-0.0549959,0.854996,0.745004
14921,0.8,-0.054549,0.854549,0.745451
14971,0.8,-0.0541022,0.854102,0.745898
15021,0.8,-0.0536556,0.853656,0.746344
15071,0.8,-0.0532092,0.853209,0.746791
15121,0.8,-0.052763,0.852763,0.747237
15171,0.8,-0.0523171,0.852317,0.747683
15221,0.8,-0.0518715,0.851872,0.748128
15271,0.8,-0.0514264,0.851426,0.748574
15321,0.8,-0.0509817,0.850982,0.749018
15371,0.8,-0.0505375,0.850537,0.749463
15421,0.8,-0.0500938,0.850094,0.749906
15471,0.8,-0.046015,0.846015,0.753985
15521,0.8,-0.0456749,0.845675,0.754325
15571,0.8,-0.0453343,0.845334,0.754666
15621,0.8,-0.0449933,0.844993,0.755007
15671,0.8,-0.044652,0.844652,0.755348
15721,0.8,-0.0443104,0.84431,0.75569
15771,0.8,-0.0439686,0.843969,0.756031
15821,0.8,-0.0436266,0.843627,0.756373
15871,0.8,-0.0432844,0.843284,0.756716
15921,0.8,-0.0429421,0.842942,0.757058
15971,0.8,-0.0425998,0.8426,0.7574
16021,0.8,-0.0422574,0.842257,0.757743
16071,0.8,-0.0419151,0.841915,0.758085
16121,0.8,-0.0415728,0.841573,0.758427
16171,0.8,-0.0412306,0.841231,0.758769
16221,0.8,-0.0408886,0.840889,0.759111
16271,0.8,-0.0405467,0.840547,0.759453
16321,0.8,-0.0402051,0.840205,0.759795
16371,0.8,-0.0398638,0.839864,0.760136
16421,0.8,-0.0395228,0.839523,0.760477
16471,0.8,-0.0391821,0.839182,0.760818
16521,0.8,-0.0375025,0.837502,0.762498
16571,0.8,-0.0372068,0.837207,0.762793
16621,0.8,-0.0369111,0.836911,0.763089
16671,0.8,-0.0366153,0.836615,0.763385
16721,0.8,-0.0363196,0.83632,0.76368
16771,0.8,-0.0360239,0.836024,0.763976
16821,0.8,-0.0357283,0.835728,0.764272
16871,0.8,-0.0354328,0.835433,0.764567
16921,0.8,-0.0351374,0.835137,0.764863
16971,0.8,-0.0348422,0.834842,0.765158
17021,0.8,-0.0345472,0.834547,0.765453
17071,0.8,-0.0342525,0.834253,0.765747
17121,0.8,-0.0339581,0.833958,0.766042
17171,0.8,-0.033664,0.833664,0.766336
17221,0.8,-0.0333703,0.83337,0.76663
17271,0.8,-0.0330769,0.833077,0.766923
17321,0.8,-0.0327839,0.832784,0.767216
17371,0.8,-0.0324914,0.832491,0.767509
17421,0.8,-0.0321994,0.832199,0.767801
17471,0.8,-0.0319079,0.831908,0.768092
17521,0.8,-0.0304795,0.83048,0.76952
17571,0.8,-0.0302378,0.830238,0.769762
17621,0.8,-0.029996,0.829996,0.770004
17671,0.8,-0.0297542,0.829754,0.770246
17721,0.8,-0.0295124,0.829512,0.770488
17771,0.8,-0.0292707,0.829271,0.770729
